Orginal File Name:,CT-JTESTPANAS-2018_5_4_1054.csv,UserAGENT:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36,IP: undefined,Time:,2018_5_4_1054,Parameter File:,None:FromPsyToolkit,Event Codes:,[('INSTRUCT_ONSET', 1), ('TASK_ONSET', 2), ('TRIAL_ONSET', 3), ('CUE_ONSET', 4), ('IMAGE_ONSET', 5), ('TARGET_ONSET', 6), ('RESPONSE', 7), ('ERROR_DELAY', 8), ('BREAK_ONSET', 9), ('BREAK_END', 10)],Trial Types are coded as follows: 8 bits representing [valence neut/neg/pos] [target_orientation H/V] [target_side left/right] [duration .5/1] [valenced_image left/right] [cue_orientation H/V] [cue_side left/right] 
trial_type,trial_number,block_num,egg_x_position,egg_y_position,absolute_time_ms,response_time,response,result
main,180,1,135,-283,194.975,0.015,1,2,
main,181,1,405,-60,195.406,0.02,1,2,
main,182,1,405,-62,195.834,0.009000000000000001,1,2,
main,183,1,313,-148,196.262,0.012,1,2,
main,184,1,159,262,196.696,0.016,1,2,
main,185,1,335,63,197.127,0.018000000000000002,1,2,
main,186,1,216,-338,197.552,0.013000000000000001,1,2,
main,187,1,324,170,197.981,0.02,1,1,
main,188,1,-200,-182,198.326,0.063,1,1,
main,189,1,-250,-72,198.669,0.055,1,1,
main,190,1,-472,57,199.011,0.058,1,1,
main,191,1,-455,118,199.354,0.059000000000000004,1,1,
main,192,1,-436,-196,199.687,0.051000000000000004,1,1,
main,193,1,-288,-52,200.034,0.065,1,1,
main,194,1,-192,-116,200.377,0.058,1,1,
main,195,1,-408,38,200.721,0.064,1,1,
main,196,1,-130,133,201.061,0.064,1,1,
main,197,1,-336,-15,201.406,0.065,1,1,
main,198,1,-365,-266,201.75,0.061,1,1,
main,199,1,-267,-44,202.089,0.058,1,2,
main,200,1,341,-25,202.518,0.015,1,2,
main,1,1,-154,-163,202.94400000000002,0.017,1,2,
main,2,1,78,42,203.373,0.017,1,1,
main,3,1,-56,-87,203.72,0.07100000000000001,1,1,
main,4,1,-368,-364,204.07,0.068,1,1,
main,5,1,-434,190,204.411,0.061,1,1,
main,6,1,-318,-102,204.755,0.068,1,2,
main,7,1,208,224,205.186,0.015,1,2,
main,8,1,239,-67,205.614,0.026000000000000002,1,2,
main,9,1,632,331,206.034,0.028,1,2,
