Version:,2,Orginal File Name:,CT-JTCTTEST-T2.csv,UserAGENT:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.1 Safari/605.1.15,IP: ::1,Time:,2018_6_29_19_56,Parameter File:,None:FromPsyToolkit
trial_type,trial_number,block_num,egg_x_position,egg_y_position,absolute_time_sec,response_time_sec,response,result
main,158,5,483,-26,107.21600000000001,0.059000000000000004,2,2,
main,159,5,-274,183,107.432,0.033,2,1,
main,160,5,441,-175,107.754,0.055,2,2,
main,161,5,-325,-146,107.973,0.027,2,1,
main,162,5,468,142,108.29,0.046,2,2,
main,163,5,-210,-52,108.507,0.026000000000000002,2,1,
main,164,5,233,-231,108.834,0.059000000000000004,2,2,
main,165,5,-102,220,109.048,0.021,2,1,
main,166,5,283,100,109.377,0.061,2,2,
main,167,5,-307,127,109.59400000000001,0.025,2,1,
main,168,5,317,25,109.922,0.064,2,2,
main,169,5,-195,-116,110.137,0.029,2,1,
main,170,5,420,-160,110.462,0.059000000000000004,2,2,
main,171,5,-412,-144,110.68,0.032,2,2,
main,172,5,-327,-426,110.9,0.032,2,1,
main,173,5,428,28,111.22500000000001,0.062,2,2,
main,174,5,-528,197,111.44500000000001,0.032,2,1,
main,175,5,234,148,111.768,0.06,2,1,
main,176,5,288,-11,112.09400000000001,0.062,2,2,
main,177,5,-437,-67,112.31400000000001,0.029,2,1,
main,178,5,426,42,112.641,0.06,2,2,
main,179,5,-307,-189,112.85600000000001,0.027,2,1,
main,180,5,468,-94,113.181,0.061,2,2,
main,181,5,-78,74,113.401,0.028,2,1,
main,182,5,459,-232,113.729,0.064,2,2,
main,183,5,-413,24,113.93900000000001,0.026000000000000002,2,1,
main,184,5,539,73,114.266,0.065,2,2,
main,185,5,-181,241,114.483,0.036000000000000004,2,1,
main,186,5,350,-149,114.81,0.066,2,2,
main,187,5,-118,51,115.023,0.029,2,2,
main,188,5,-302,-25,115.24000000000001,0.028,2,1,
main,189,5,404,-98,115.565,0.061,2,2,
main,190,5,-276,-32,115.785,0.034,2,1,
main,191,5,311,-70,116.10900000000001,0.065,2,1,
main,192,5,328,-162,116.432,0.067,2,2,
main,193,5,-199,-90,116.647,0.033,2,1,
main,194,5,431,277,116.968,0.063,2,2,
main,195,5,-358,-168,117.185,0.029,2,1,
main,196,5,306,-241,117.513,0.067,2,2,
main,197,5,-484,-266,117.72800000000001,0.034,2,1,
main,198,5,433,164,118.055,0.07200000000000001,2,2,
main,199,5,-371,-228,118.273,0.033,2,1,
main,200,5,363,70,118.598,0.07200000000000001,2,2,
main,201,2,-566,-98,118.81400000000001,0.027,2,2,
main,202,2,-109,-2,119.031,0.034,2,2,
main,203,2,-437,-350,119.255,0.035,2,2,
main,204,2,-134,7,119.473,0.033,2,2,
main,205,2,-239,77,119.69,0.028,2,2,
main,206,2,-208,-45,119.91,0.031,2,2,
main,207,2,-646,203,120.128,0.031,2,2,
main,208,2,-324,146,120.34700000000001,0.034,2,2,
main,209,2,-793,-106,120.562,0.026000000000000002,2,2,
main,210,2,36,-276,120.778,0.036000000000000004,2,2,
main,211,2,-521,-138,120.994,0.026000000000000002,2,2,
main,212,2,-453,-91,121.211,0.03,2,2,
main,213,2,-1,25,121.427,0.031,2,1,
main,214,2,335,-117,121.76,0.07200000000000001,2,1,
main,215,2,608,-229,122.083,0.06,2,2,
main,216,2,-520,38,122.3,0.028,2,2,
main,217,2,-64,181,122.513,0.024,2,2,
main,218,2,-632,32,122.732,0.029,2,2,
main,219,2,-242,357,122.952,0.035,2,2,
main,220,2,-414,234,123.173,0.028,2,2,
main,221,2,-282,-80,123.389,0.031,2,2,
main,222,2,-275,223,123.60600000000001,0.036000000000000004,2,2,
main,223,2,-252,-251,123.822,0.031,2,2,
main,224,2,-291,326,124.039,0.031,2,2,
main,225,2,-557,26,124.256,0.032,2,2,
main,226,2,-432,-281,124.471,0.028,2,1,
main,227,2,325,-65,124.794,0.061,2,1,
main,228,2,624,33,125.114,0.059000000000000004,2,1,
main,229,2,517,12,125.44200000000001,0.062,2,1,
main,230,2,594,-8,125.76,0.057,2,1,
main,231,2,184,-374,126.081,0.055,2,1,
main,232,2,270,197,126.405,0.052000000000000005,2,1,
main,233,2,381,186,126.72500000000001,0.054,2,1,
main,234,2,427,189,127.052,0.065,2,1,
main,235,2,602,135,127.382,0.067,2,1,
main,236,2,503,197,127.711,0.07,2,1,
main,237,2,188,4,128.036,0.055,2,1,
main,238,2,454,-132,128.364,0.062,2,1,
main,239,2,43,-488,128.686,0.06,2,1,
main,240,2,254,-193,129.005,0.055,2,1,
main,241,2,556,-526,129.33,0.06,2,1,
main,242,2,701,120,129.651,0.055,2,1,
main,243,2,510,212,129.978,0.064,2,1,
main,244,2,190,450,130.299,0.059000000000000004,2,1,
main,245,2,258,-301,130.62800000000001,0.07,2,1,
main,246,2,253,-165,130.953,0.065,2,1,
main,247,2,418,-210,131.275,0.063,2,1,
main,248,2,299,103,131.6,0.061,2,2,
main,249,2,-332,62,131.818,0.038,2,2,
main,250,2,-290,150,132.035,0.03,2,2,
main,251,2,-118,-53,132.251,0.03,2,2,
main,252,2,-37,252,132.469,0.032,2,2,
main,253,2,-411,-198,132.689,0.026000000000000002,2,2,
main,254,2,-352,-340,132.904,0.031,2,2,
main,255,2,-331,83,133.119,0.034,2,2,
main,256,2,-385,386,133.336,0.035,2,2,
main,257,2,-190,-218,133.552,0.027,2,2,
main,258,2,-194,30,133.76500000000001,0.026000000000000002,2,2,
main,259,2,-255,61,133.981,0.027,2,2,
main,260,2,-449,-424,134.193,0.028,2,1,
main,261,2,234,-118,134.517,0.059000000000000004,2,2,
main,262,2,-221,-90,134.73,0.03,2,2,
main,263,2,-530,120,134.949,0.035,2,2,
main,264,2,-187,137,135.169,0.036000000000000004,2,2,
main,265,2,-588,93,135.383,0.03,2,1,
main,266,2,321,88,135.707,0.057,2,1,
main,267,2,661,192,136.025,0.059000000000000004,2,2,
main,268,2,-281,318,136.241,0.029,2,2,
main,269,2,-178,1,136.457,0.03,2,2,
main,270,2,-594,-223,136.67000000000002,0.024,2,2,
main,271,2,-60,-95,136.891,0.028,2,2,
main,272,2,-3,-66,137.107,0.026000000000000002,2,2,
main,273,2,-621,-540,137.32,0.023,2,2,
main,274,2,-126,-25,137.538,0.026000000000000002,2,2,
main,275,2,-323,-14,137.75,0.024,2,2,
main,276,2,-657,-24,137.972,0.034,2,2,
main,277,2,-441,232,138.185,0.027,2,2,
main,278,2,-318,218,138.398,0.023,2,2,
main,279,2,-235,214,138.614,0.033,2,2,
main,280,2,-259,-21,138.832,0.039,2,2,
main,281,2,-303,-295,139.052,0.036000000000000004,2,2,
main,282,2,-42,343,139.266,0.025,2,2,
main,283,2,-203,-197,139.485,0.03,2,2,
main,284,2,-141,50,139.703,0.019,2,1,
main,285,2,257,19,140.024,0.053,2,1,
main,286,2,347,266,140.352,0.069,2,1,
main,287,2,499,251,140.677,0.065,2,1,
