Orginal File Name:,DP-JTESTDP-2018_6_27_20_47.csv,UserAGENT:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.1 Safari/605.1.15,IP: ::1,Time:,2018_6_27_20_47,Parameter File:,None:FromPsyToolkit,Event Codes:,[('INSTRUCT_ONSET', 1), ('TASK_ONSET', 2), ('TRIAL_ONSET', 3), ('CUE_ONSET', 4), ('IMAGE_ONSET', 5), ('TARGET_ONSET', 6), ('RESPONSE', 7), ('ERROR_DELAY', 8), ('BREAK_ONSET', 9), ('BREAK_END', 10)],Trial Types are coded as follows: 8 bits representing [valence neut/neg/pos] [target_orientation H/V] [target_side left/right] [duration .5/1] [valenced_image left/right] [cue_orientation H/V] [cue_side left/right] 
trial_number,trial_type,event_code,absolute_time,response_time,response,result
33,10011010,4,131.987,NaN,NA,NA,
33,10011010,5,132.18800000000002,NaN,NA,21450.bmp,A335.bmp,
33,10011010,6,133.189,NaN,NA,NA,
33,10011010,7,133.686,0.495,1,2,
33,10011010,8,133.686,NaN,NA,NA,
34,00000110,2,136.707,NaN,NA,NA,
34,00000110,3,136.707,NaN,NA,NA,
34,00000110,4,137.709,NaN,NA,NA,
34,00000110,5,137.911,NaN,NA,07045.bmp,A181.bmp,
34,00000110,6,138.412,NaN,NA,NA,
34,00000110,7,139.768,1.353,-1,2,
34,00000110,8,139.768,NaN,NA,NA,
35,01010010,2,142.788,NaN,NA,NA,
35,01010010,3,142.788,NaN,NA,NA,
35,01010010,4,143.79,NaN,NA,NA,
35,01010010,5,143.992,NaN,NA,12141.bmp,A219.bmp,
35,01010010,6,144.493,NaN,NA,NA,
35,01010010,7,145.209,0.715,1,2,
35,01010010,8,145.209,NaN,NA,NA,
36,10111000,2,148.229,NaN,NA,NA,
36,10111000,3,148.229,NaN,NA,NA,
36,10111000,4,149.23,NaN,NA,NA,
36,10111000,5,149.43200000000002,NaN,NA,25621.bmp,A65.bmp,
36,10111000,6,150.434,NaN,NA,NA,
36,10111000,7,151.18200000000002,0.747,1,2,
36,10111000,8,151.18200000000002,NaN,NA,NA,
37,01000110,2,154.203,NaN,NA,NA,
37,01000110,3,154.203,NaN,NA,NA,
37,01000110,4,155.205,NaN,NA,NA,
37,01000110,5,155.405,NaN,NA,13015.bmp,A239.bmp,
37,01000110,6,155.907,NaN,NA,NA,
37,01000110,7,157.191,1.282,-1,2,
37,01000110,8,157.191,NaN,NA,NA,
38,10101100,2,160.21200000000002,NaN,NA,NA,
38,10101100,3,160.21200000000002,NaN,NA,NA,
38,10101100,4,161.214,NaN,NA,NA,
38,10101100,5,161.416,NaN,NA,22222.bmp,A37.bmp,
38,10101100,6,162.416,NaN,NA,NA,
38,10101100,7,162.993,0.5750000000000001,-1,2,
38,10101100,8,162.993,NaN,NA,NA,
39,10111110,2,166.013,NaN,NA,NA,
39,10111110,3,166.013,NaN,NA,NA,
39,10111110,4,167.014,NaN,NA,NA,
39,10111110,5,167.216,NaN,NA,28178.bmp,A95.bmp,
39,10111110,6,168.218,NaN,NA,NA,
39,10111110,7,168.9,0.681,1,1,
40,00111100,2,168.913,NaN,NA,NA,
40,00111100,3,168.913,NaN,NA,NA,
40,00111100,4,169.91400000000002,NaN,NA,NA,
40,00111100,5,170.116,NaN,NA,01645.bmp,A101.bmp,
40,00111100,6,171.118,NaN,NA,NA,
40,00111100,7,171.73,0.61,1,2,
40,00111100,8,171.73,NaN,NA,NA,
41,00101100,2,174.751,NaN,NA,NA,
41,00101100,3,174.751,NaN,NA,NA,
41,00101100,4,175.752,NaN,NA,NA,
41,00101100,5,175.954,NaN,NA,07830.bmp,A209.bmp,
41,00101100,6,176.955,NaN,NA,NA,
41,00101100,7,177.443,0.487,-1,2,
41,00101100,8,177.443,NaN,NA,NA,
42,01110000,2,180.463,NaN,NA,NA,
42,01110000,3,180.463,NaN,NA,NA,
42,01110000,4,181.465,NaN,NA,NA,
42,01110000,5,181.667,NaN,NA,12799.bmp,A23.bmp,
42,01110000,6,182.169,NaN,NA,NA,
42,01110000,7,183.51500000000001,1.345,1,2,
42,01110000,8,183.51500000000001,NaN,NA,NA,
43,00000100,2,186.536,NaN,NA,NA,
43,00000100,3,186.536,NaN,NA,NA,
43,00000100,4,187.537,NaN,NA,NA,
43,00000100,5,187.738,NaN,NA,07160.bmp,A189.bmp,
43,00000100,6,188.24,NaN,NA,NA,
43,00000100,7,189.266,1.025,-1,1,
44,01000011,2,189.281,NaN,NA,NA,
44,01000011,3,189.281,NaN,NA,NA,
44,01000011,4,190.282,NaN,NA,NA,
44,01000011,5,190.484,NaN,NA,19301.bmp,A315.bmp,
44,01000011,6,190.986,NaN,NA,NA,
44,01000011,7,192.246,1.2590000000000001,-1,2,
44,01000011,8,192.246,NaN,NA,NA,
45,00000001,2,195.266,NaN,NA,NA,
45,00000001,3,195.266,NaN,NA,NA,
45,00000001,4,196.268,NaN,NA,NA,
45,00000001,5,196.469,NaN,NA,08232.bmp,A211.bmp,
45,00000001,6,196.971,NaN,NA,NA,
45,00000001,7,197.918,0.9460000000000001,-1,1,
46,00110101,2,197.93200000000002,NaN,NA,NA,
46,00110101,3,197.93200000000002,NaN,NA,NA,
46,00110101,4,198.934,NaN,NA,NA,
46,00110101,5,199.136,NaN,NA,07003.bmp,A161.bmp,
46,00110101,6,199.637,NaN,NA,NA,
46,00110101,7,200.822,1.184,1,2,
46,00110101,8,200.822,NaN,NA,NA,
47,00010010,2,203.84300000000002,NaN,NA,NA,
47,00010010,3,203.84300000000002,NaN,NA,NA,
47,00010010,4,204.844,NaN,NA,NA,
47,00010010,5,205.046,NaN,NA,07001.bmp,A159.bmp,
47,00010010,6,205.548,NaN,NA,NA,
47,00010010,7,206.48600000000002,0.937,1,2,
47,00010010,8,206.48600000000002,NaN,NA,NA,
48,10000010,2,209.507,NaN,NA,NA,
48,10000010,3,209.507,NaN,NA,NA,
48,10000010,4,210.50900000000001,NaN,NA,NA,
48,10000010,5,210.711,NaN,NA,22500.bmp,A383.bmp,
48,10000010,6,211.21200000000002,NaN,NA,NA,
48,10000010,7,212.336,1.122,-1,2,
48,10000010,8,212.336,NaN,NA,NA,
49,00111101,2,215.357,NaN,NA,NA,
49,00111101,3,215.357,NaN,NA,NA,
49,00111101,4,216.359,NaN,NA,NA,
49,00111101,5,216.561,NaN,NA,05920.bmp,A153.bmp,
49,00111101,6,217.562,NaN,NA,NA,
49,00111101,7,217.943,0.38,1,2,
49,00111101,8,217.943,NaN,NA,NA,
50,01010000,2,220.964,NaN,NA,NA,
50,01010000,3,220.964,NaN,NA,NA,
50,01010000,4,221.966,NaN,NA,NA,
50,01010000,5,222.167,NaN,NA,13230.bmp,A259.bmp,
50,01010000,6,222.668,NaN,NA,NA,
50,01010000,7,223.768,1.099,1,1,
51,10000101,2,223.782,NaN,NA,NA,
51,10000101,3,223.782,NaN,NA,NA,
51,10000101,4,224.784,NaN,NA,NA,
51,10000101,5,224.985,NaN,NA,28170.bmp,A93.bmp,
51,10000101,6,225.487,NaN,NA,NA,
51,10000101,7,226.647,1.159,-1,1,
52,00101000,2,226.661,NaN,NA,NA,
52,00101000,3,226.661,NaN,NA,NA,
52,00101000,4,227.662,NaN,NA,NA,
52,00101000,5,227.863,NaN,NA,07025.bmp,A177.bmp,
52,00101000,6,228.865,NaN,NA,NA,
52,00101000,7,229.573,0.706,-1,2,
52,00101000,8,229.573,NaN,NA,NA,
53,01011101,2,232.59300000000002,NaN,NA,NA,
53,01011101,3,232.59300000000002,NaN,NA,NA,
53,01011101,4,233.595,NaN,NA,NA,
53,01011101,5,233.796,NaN,NA,13100.bmp,A243.bmp,
53,01011101,6,234.797,NaN,NA,NA,
53,01011101,7,235.264,0.466,1,1,
54,10101110,2,235.278,NaN,NA,NA,
54,10101110,3,235.278,NaN,NA,NA,
54,10101110,4,236.28,NaN,NA,NA,
54,10101110,5,236.481,NaN,NA,21999.bmp,A353.bmp,
54,10101110,6,237.483,NaN,NA,NA,
54,10101110,7,238.335,0.851,-1,1,
55,01111011,2,238.34900000000002,NaN,NA,NA,
55,01111011,3,238.34900000000002,NaN,NA,NA,
55,01111011,4,239.351,NaN,NA,NA,
55,01111011,5,239.552,NaN,NA,17380.bmp,A301.bmp,
55,01111011,6,240.554,NaN,NA,NA,
55,01111011,7,241.08100000000002,0.526,1,1,
56,10001010,2,241.095,NaN,NA,NA,
56,10001010,3,241.095,NaN,NA,NA,
56,10001010,4,242.097,NaN,NA,NA,
56,10001010,5,242.299,NaN,NA,22050.bmp,A359.bmp,
56,10001010,6,243.30100000000002,NaN,NA,NA,
56,10001010,7,243.971,0.668,-1,2,
56,10001010,8,243.971,NaN,NA,NA,
57,10010000,2,246.99200000000002,NaN,NA,NA,
57,10010000,3,246.99200000000002,NaN,NA,NA,
57,10010000,4,247.993,NaN,NA,NA,
57,10010000,5,248.195,NaN,NA,223752.bmp,A375.bmp,
57,10010000,6,248.697,NaN,NA,NA,
57,10010000,7,249.501,0.803,1,1,
58,00110001,2,249.51500000000001,NaN,NA,NA,
58,00110001,3,249.51500000000001,NaN,NA,NA,
58,00110001,4,250.517,NaN,NA,NA,
58,00110001,5,250.719,NaN,NA,07018.bmp,A171.bmp,
58,00110001,6,251.221,NaN,NA,NA,
58,00110001,7,252.49200000000002,1.27,1,2,
58,00110001,8,252.49200000000002,NaN,NA,NA,
59,01010111,2,255.513,NaN,NA,NA,
59,01010111,3,255.513,NaN,NA,NA,
59,01010111,4,256.515,NaN,NA,NA,
59,01010111,5,256.717,NaN,NA,12811.bmp,A231.bmp,
59,01010111,6,257.218,NaN,NA,NA,
59,01010111,7,258.05400000000003,0.834,1,2,
59,01010111,8,258.05400000000003,NaN,NA,NA,
60,10001110,2,261.075,NaN,NA,NA,
60,10001110,3,261.075,NaN,NA,NA,
60,10001110,4,262.077,NaN,NA,NA,
60,10001110,5,262.278,NaN,NA,21650.bmp,A343.bmp,
60,10001110,6,263.28000000000003,NaN,NA,NA,
60,10001110,7,263.784,0.501,-1,2,
60,10001110,8,263.784,NaN,NA,NA,
61,01001000,2,266.805,NaN,NA,NA,
61,01001000,3,266.805,NaN,NA,NA,
61,01001000,4,267.807,NaN,NA,NA,
61,01001000,5,268.009,NaN,NA,12703.bmp,A229.bmp,
61,01001000,6,269.01,NaN,NA,NA,
61,01001000,7,269.782,0.771,-1,1,
62,00010110,2,269.796,NaN,NA,NA,
62,00010110,3,269.796,NaN,NA,NA,
62,00010110,4,270.797,NaN,NA,NA,
62,00010110,5,270.999,NaN,NA,02749.bmp,A133.bmp,
62,00010110,6,271.50100000000003,NaN,NA,NA,
62,00010110,7,272.596,1.093,1,2,
62,00010110,8,272.596,NaN,NA,NA,
63,01010001,2,275.617,NaN,NA,NA,
63,01010001,3,275.617,NaN,NA,NA,
63,01010001,4,276.619,NaN,NA,NA,
63,01010001,5,276.819,NaN,NA,13500.bmp,A265.bmp,
63,01010001,6,277.321,NaN,NA,NA,
63,01010001,7,278.522,1.2,1,1,
64,01101000,2,278.537,NaN,NA,NA,
64,01101000,3,278.537,NaN,NA,NA,
64,01101000,4,279.538,NaN,NA,NA,
64,01101000,5,279.74,NaN,NA,16821.bmp,A297.bmp,
64,01101000,6,280.742,NaN,NA,NA,
64,01101000,7,281.44,0.6960000000000001,-1,2,
64,01101000,8,281.44,NaN,NA,NA,
65,00011010,2,284.459,NaN,NA,NA,
65,00011010,3,284.459,NaN,NA,NA,
65,00011010,4,285.46,NaN,NA,NA,
65,00011010,5,285.662,NaN,NA,07004.bmp,A163.bmp,
65,00011010,6,286.663,NaN,NA,NA,
65,00011010,7,287.182,0.516,1,2,
65,00011010,8,287.182,NaN,NA,NA,
66,01001101,2,290.202,NaN,NA,NA,
66,01001101,3,290.202,NaN,NA,NA,
66,01001101,4,291.204,NaN,NA,NA,
66,01001101,5,291.406,NaN,NA,19300.bmp,A313.bmp,
66,01001101,6,292.407,NaN,NA,NA,
66,01001101,7,293.152,0.743,-1,1,
67,10010010,2,293.166,NaN,NA,NA,
67,10010010,3,293.166,NaN,NA,NA,
67,10010010,4,294.168,NaN,NA,NA,
67,10010010,5,294.37,NaN,NA,25300.bmp,A5.bmp,
67,10010010,6,294.872,NaN,NA,NA,
67,10010010,7,296.076,1.202,1,2,
67,10010010,8,296.076,NaN,NA,NA,
68,00011100,2,299.096,NaN,NA,NA,
68,00011100,3,299.096,NaN,NA,NA,
68,00011100,4,300.098,NaN,NA,NA,
68,00011100,5,300.3,NaN,NA,07211.bmp,A199.bmp,
68,00011100,6,301.301,NaN,NA,NA,
68,00011100,7,302.075,0.773,1,1,
69,00110010,2,302.088,NaN,NA,NA,
69,00110010,3,302.088,NaN,NA,NA,
69,00110010,4,303.089,NaN,NA,NA,
69,00110010,5,303.29,NaN,NA,04004.bmp,A143.bmp,
69,00110010,6,303.79,NaN,NA,NA,
69,00110010,7,305.238,1.445,1,1,
70,10000111,2,305.252,NaN,NA,NA,
70,10000111,3,305.252,NaN,NA,NA,
70,10000111,4,306.254,NaN,NA,NA,
70,10000111,5,306.456,NaN,NA,22040.bmp,A357.bmp,
70,10000111,6,306.958,NaN,NA,NA,
70,10000111,7,307.932,0.973,-1,2,
70,10000111,8,307.932,NaN,NA,NA,
71,00011001,2,310.952,NaN,NA,NA,
71,00011001,3,310.952,NaN,NA,NA,
71,00011001,4,311.954,NaN,NA,NA,
71,00011001,5,312.156,NaN,NA,02840.bmp,A137.bmp,
71,00011001,6,313.157,NaN,NA,NA,
71,00011001,7,313.594,0.436,1,1,
72,00101101,2,313.608,NaN,NA,NA,
72,00101101,3,313.608,NaN,NA,NA,
72,00101101,4,314.609,NaN,NA,NA,
72,00101101,5,314.811,NaN,NA,07055.bmp,A185.bmp,
72,00101101,6,315.813,NaN,NA,NA,
72,00101101,7,316.647,0.833,-1,2,
72,00101101,8,316.647,NaN,NA,NA,
73,10000001,2,319.66700000000003,NaN,NA,NA,
73,10000001,3,319.66700000000003,NaN,NA,NA,
73,10000001,4,320.668,NaN,NA,NA,
73,10000001,5,320.869,NaN,NA,25982.bmp,A7.bmp,
73,10000001,6,321.371,NaN,NA,NA,
73,10000001,7,322.422,1.049,-1,1,
74,00100100,2,322.436,NaN,NA,NA,
74,00100100,3,322.436,NaN,NA,NA,
74,00100100,4,323.438,NaN,NA,NA,
74,00100100,5,323.64,NaN,NA,07059.bmp,A187.bmp,
74,00100100,6,324.141,NaN,NA,NA,
74,00100100,7,325.326,1.184,-1,2,
74,00100100,8,325.326,NaN,NA,NA,
75,01001011,2,328.345,NaN,NA,NA,
75,01001011,3,328.345,NaN,NA,NA,
75,01001011,4,329.347,NaN,NA,NA,
75,01001011,5,329.54900000000004,NaN,NA,13191.bmp,A25.bmp,
75,01001011,6,330.551,NaN,NA,NA,
75,01001011,7,331.073,0.521,-1,2,
